,SEENJOY,SEGRADES,SEABSNT,SEREPEAT,SESUSPIN,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSFUNDRS,FSCOMMTE,FSATCNFN,FSCOUNSLR,FSFREQ,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FOHISTX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,FOSPRTEVX,FHCHECKX,FHHELP,FORESPON,FODINNERX,FPWT,pi_pro_schl_feats_comp,pi_pro_hm_feats_comp
89,1,1,0,1,2,2,1,2,2,2,1,2,2,12,1,2,1,2,1,2,2,2,1,1,1,1,2,4,3,2,0,1610.0568435585199,10,19
90,1,1,3,2,2,2,2,2,2,2,1,2,2,30,2,1,1,1,2,2,1,1,2,1,1,2,2,3,2,2,1,1738.77559163603,11,19
91,2,2,5,2,2,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,4,2007.4340573601398,6,20
92,1,2,6,1,2,2,1,2,2,2,1,1,2,4,1,1,2,2,2,2,2,2,2,1,1,2,1,3,1,2,0,914.174137700562,10,21
93,1,3,10,2,2,1,1,2,2,2,1,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,4,1,2,7,3633.1454425251795,9,20
94,1,2,3,2,2,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,4,5,2,5,6868.994811462459,7,18
95,2,2,7,2,2,1,1,2,1,1,1,2,1,4,1,1,1,1,2,1,1,2,1,1,1,1,1,3,2,2,4,919.616858924524,7,15
96,1,1,5,2,2,2,2,2,1,2,1,2,1,5,1,1,2,2,2,1,1,2,1,1,1,2,1,4,1,2,6,3301.8594472738,10,18
97,1,1,5,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,7510.09860727998,7,26
98,2,2,6,2,2,2,1,2,2,2,1,2,2,3,2,1,2,2,2,2,1,2,2,1,1,2,2,3,1,1,3,1720.14040032091,10,22
99,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,4,1,2,7,4619.0675240684795,7,16
100,2,1,7,2,2,1,1,2,1,1,1,1,1,30,2,1,1,1,1,2,1,2,1,1,1,1,1,4,1,2,0,3329.1332796373,7,16
101,2,2,0,2,2,1,1,2,2,1,1,2,2,3,1,1,2,2,1,1,2,1,1,1,1,1,1,4,1,2,4,5948.095102981961,8,16
102,2,1,6,2,2,2,1,2,1,2,1,1,1,5,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,4,10356.3050137698,9,17
103,2,2,3,2,1,1,1,2,1,1,1,1,1,3,1,1,1,2,2,1,2,1,1,1,1,1,2,3,2,2,4,3405.2348823196303,7,17
104,1,1,5,2,2,2,2,2,2,2,1,2,1,4,2,2,2,2,2,1,2,2,2,1,1,2,2,4,4,2,7,5526.0087272991395,11,23
105,2,2,2,2,1,2,1,1,2,1,1,2,2,4,2,2,1,1,2,1,2,2,1,1,1,1,1,4,1,1,4,2527.28654367709,8,18
106,2,2,0,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,4,1,2,0,3443.2777580658803,7,15
107,2,2,8,2,2,1,1,2,2,2,1,2,1,4,1,1,1,1,1,1,2,2,1,1,1,1,1,4,3,2,7,571.192413853235,9,15
108,2,1,5,2,2,2,1,2,2,2,1,2,1,4,1,2,2,2,2,1,1,2,2,1,1,2,2,4,3,2,5,2085.02483534302,10,21
109,2,2,6,2,2,2,1,2,1,2,1,2,2,16,2,2,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,461.374873346019,9,16
112,2,1,2,2,2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,3,1,2,4,1737.7454102071697,9,18
114,3,2,4,2,2,2,2,1,1,2,1,2,2,6,1,1,2,1,2,1,2,1,1,1,1,1,1,3,2,2,4,1299.33422008309,9,16
115,1,2,7,2,2,2,1,2,2,1,1,2,1,6,2,1,1,1,2,2,2,1,1,1,2,1,2,4,1,2,4,1326.54964246239,9,19
116,2,1,5,2,2,2,2,2,1,2,2,1,2,60,2,1,1,2,2,1,1,1,2,1,1,2,2,3,2,2,4,1048.18143700909,11,19
117,2,3,1,2,2,2,2,2,1,1,1,1,2,4,1,1,2,2,2,1,2,2,1,1,2,2,2,4,3,2,4,2019.0393565134698,9,21
119,1,1,4,2,2,2,2,2,2,2,1,2,1,20,2,2,2,2,2,2,2,2,1,2,1,2,2,4,3,2,7,1434.5816799132801,11,24
120,2,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,3,2931.7692885695,8,19
121,2,2,0,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,3,1,2,6,1159.5756257880498,7,18
124,1,2,8,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,4,3,2,4,1658.6843463835999,8,18
125,2,2,6,2,2,1,1,1,1,1,1,1,1,0,2,1,1,1,1,2,1,1,1,1,1,2,1,3,1,2,4,6469.34958524833,6,16
126,1,1,1,2,2,2,1,2,2,1,1,1,1,4,2,2,2,2,2,2,2,1,1,2,1,1,2,4,3,2,7,2457.2732961227302,9,22
127,1,1,2,2,2,2,2,2,1,2,1,2,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,7,5363.8081609644,10,26
128,2,1,3,2,2,2,1,2,2,2,1,2,1,10,2,1,2,2,2,2,2,2,1,1,1,2,2,4,3,2,7,3816.1180922088397,10,22
129,1,1,4,2,2,2,1,2,1,2,1,1,2,12,2,1,2,1,2,2,1,2,2,1,1,1,1,4,3,2,6,1138.28369743899,9,19
132,1,3,2,2,2,2,2,1,1,1,1,2,1,6,2,2,1,2,2,2,2,1,2,1,1,1,1,4,3,1,7,699.689330045435,8,20
133,2,2,7,2,2,2,1,2,1,2,1,1,2,3,1,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,6,2319.19161755043,9,20
135,2,2,1,2,2,2,1,2,1,2,1,1,1,8,1,1,1,1,2,2,1,2,2,2,1,2,2,1,2,2,5,2042.3800026400602,9,20
136,1,1,4,2,2,2,2,2,2,2,1,2,1,5,2,2,2,2,2,1,2,1,1,2,2,1,2,4,1,2,7,1276.93081961398,11,22
