,SEENJOY,SEGRADES,SEABSNT,SEREPEAT,SESUSPIN,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSFUNDRS,FSCOMMTE,FSATCNFN,FSCOUNSLR,FSFREQ,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FOHISTX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,FOSPRTEVX,FHCHECKX,FHHELP,FORESPON,FODINNERX,FPWT,pi_pro_schl_feats_comp,pi_pro_hm_feats_comp
7597,2,2,6,2,2,2,2,2,2,2,1,2,2,10,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,4,1347.48719112032,11,20
7598,1,2,2,2,2,2,1,2,2,1,1,2,1,5,1,2,1,1,2,1,1,1,1,1,1,1,2,4,1,1,3,2319.2513818871303,9,16
7599,1,3,14,2,1,2,1,1,1,1,1,2,2,3,2,2,1,2,2,1,2,1,1,1,1,2,2,4,4,2,7,1036.24202142364,7,20
7600,1,1,3,2,2,2,2,2,2,1,1,2,1,7,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,7,7094.90805009182,10,21
7601,4,3,5,2,1,2,1,2,1,2,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0,3416.4278089725603,9,13
7602,2,1,4,2,2,2,2,2,1,2,1,1,1,7,2,2,1,2,2,2,1,1,2,1,1,2,2,1,2,2,7,4557.7341299679,10,21
7603,2,2,1,2,2,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,1,1,2,1,2,2,1,4,3,2,7,2161.2022668857503,9,20
7606,1,3,5,2,2,2,1,1,2,1,1,1,1,7,1,1,1,1,1,2,1,1,1,1,1,2,2,4,3,2,7,1010.4863455230699,8,16
7608,1,2,10,2,2,2,2,2,1,2,1,2,1,6,2,2,2,2,2,2,2,2,2,1,1,2,2,4,1,2,2,12241.8337347504,10,24
7612,2,1,6,2,2,2,1,2,1,1,1,2,1,10,2,2,1,2,2,1,1,1,2,1,1,1,2,4,3,2,5,2279.45161692447,8,19
7613,1,1,2,2,2,2,2,2,1,2,2,2,1,20,2,1,2,2,2,1,1,2,1,1,1,2,2,1,5,1,7,1996.34433088877,11,20
7614,4,3,7,2,2,2,1,2,1,2,1,2,2,4,2,1,2,2,2,2,1,1,1,1,1,1,1,4,2,2,5,5630.75252393144,9,18
7615,2,2,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,3,1786.9537603858898,7,13
7616,2,1,5,2,2,2,2,2,2,2,2,2,1,15,2,2,2,1,2,2,1,1,1,1,1,2,2,4,3,2,7,1557.5540940414999,12,20
7617,3,2,0,2,2,2,1,2,1,2,1,2,2,4,2,1,2,2,2,1,1,2,1,1,1,1,1,4,3,1,7,953.819020377991,9,18
7618,2,3,0,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,4,1,2,3,2913.35886530382,9,15
7619,2,1,2,2,2,2,2,2,2,2,1,2,1,4,2,2,2,2,2,1,2,1,2,2,1,2,2,4,4,1,6,4331.14308879413,11,23
7621,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,4,5,2,4,3769.4724328156703,6,16
7622,2,1,6,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,1,1,1,2,2,2,4,5,2,5,3167.91107028752,8,19
7624,2,2,6,2,2,2,1,2,2,2,1,2,1,9,1,1,2,2,1,2,1,1,1,1,1,2,2,4,2,2,5,5105.399764932079,10,18
7625,1,2,2,2,2,2,1,2,2,1,1,2,1,6,2,2,2,1,2,1,2,1,1,1,1,1,1,4,3,1,7,1382.50728080043,9,18
7626,1,2,1,2,2,2,2,2,2,1,2,2,1,15,1,1,1,2,2,1,1,1,1,1,1,2,2,4,1,2,7,7888.992429414649,11,17
7630,1,1,8,2,2,2,2,2,2,2,1,1,1,8,2,2,2,1,2,2,2,2,2,2,1,2,2,4,3,2,7,3159.26756826628,11,24
7631,2,1,7,2,2,2,2,2,1,2,1,2,1,6,2,2,2,2,2,2,1,2,2,2,1,2,2,4,3,2,7,2486.27748635754,10,24
7633,2,1,2,2,2,2,2,2,2,2,1,2,1,20,1,1,2,2,2,1,1,2,1,1,1,2,1,4,3,2,7,3425.94564087415,11,18
7635,2,2,5,2,2,2,2,2,2,2,1,1,2,10,2,1,2,2,1,2,2,1,2,1,1,2,1,3,1,2,5,783.932707160473,11,20
7636,2,2,0,1,2,2,2,2,2,2,1,2,1,10,2,2,2,2,2,2,2,2,1,1,1,2,1,4,3,2,7,3637.25894480766,11,22
7637,2,1,3,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,2,2,4,1,2,5,8993.89862433411,8,18
7638,2,2,5,2,1,1,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,3,2,1,0,1187.13229284705,8,16
7640,1,1,1,2,2,2,2,2,1,2,1,2,2,7,2,1,2,2,2,2,1,1,1,1,2,1,1,3,3,1,6,3023.4099281254303,10,19
7641,1,2,2,1,2,2,1,2,2,2,1,1,1,20,1,1,1,1,2,1,1,1,1,1,1,2,1,4,2,2,3,1776.03529617625,10,15
7642,1,1,1,2,2,2,2,2,1,2,1,2,1,10,2,1,2,1,2,2,1,1,2,1,1,2,1,4,4,2,7,1697.78840263012,10,19
7643,1,1,3,2,2,2,2,2,2,2,1,2,1,10,2,2,2,2,1,2,2,1,1,1,1,2,1,4,1,2,7,992.918233455498,11,20
7644,1,1,10,2,2,2,2,2,2,2,1,2,2,4,2,1,1,2,2,2,2,2,2,2,2,2,2,1,3,2,5,883.499352120743,11,24
7645,1,1,6,2,2,2,1,1,2,2,1,2,2,50,1,1,1,2,2,1,1,1,2,1,1,1,2,4,2,1,2,1539.42067213065,9,17
7646,2,2,5,2,2,2,2,2,2,2,2,2,1,10,2,2,2,2,2,2,2,2,2,1,2,2,1,4,4,2,4,3492.4400242831703,12,24
7647,2,2,5,2,2,2,1,2,2,1,1,2,2,4,1,2,2,2,2,2,2,1,2,1,2,2,2,4,1,2,4,609.782660265284,9,23
7649,2,2,14,2,2,2,1,2,2,2,1,2,1,5,1,1,2,2,1,1,1,1,1,1,1,1,2,3,2,1,7,1541.1553407011,10,16
7650,2,2,5,2,2,2,1,1,1,1,1,2,1,12,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,2,5,778.0002552858709,7,15
7653,3,4,10,1,2,1,1,2,1,1,1,1,2,10,2,2,1,2,2,2,1,1,1,2,2,2,2,3,2,2,4,2627.8758875719395,7,22
7654,3,1,5,2,2,2,2,2,2,2,1,2,2,9,2,1,2,1,2,2,1,2,1,1,1,1,2,3,2,1,6,4460.113508971061,11,19
7655,1,1,2,2,2,2,1,1,1,1,1,1,1,3,1,1,2,1,2,2,1,1,1,1,1,2,1,3,1,2,4,1213.67931612386,7,17
7656,2,2,1,2,2,2,1,2,2,1,1,2,1,5,1,2,1,1,2,1,1,1,1,1,1,1,2,4,2,1,3,1175.0929225168902,9,16
7658,1,1,3,2,2,2,2,2,1,2,2,2,2,45,1,1,2,1,2,1,1,1,1,1,1,2,2,3,5,2,2,5806.50008442193,11,17
7659,3,3,15,2,2,2,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,1,2,2,4,2,1,5,1875.8057340485898,8,16
7660,1,1,0,2,2,2,2,2,1,1,1,2,2,5,2,2,2,2,1,2,2,1,1,1,1,1,2,3,1,1,4,4110.14150772077,9,20
7661,1,2,2,2,2,2,1,2,1,2,1,2,1,4,2,1,1,2,2,2,1,1,1,1,1,2,1,4,3,2,2,3717.2361262570294,9,18
7663,2,2,0,2,2,1,1,2,2,1,1,1,2,3,2,1,1,1,2,2,1,1,1,1,1,2,2,4,2,2,7,4344.46906592298,8,18
7664,1,2,2,2,2,2,1,2,1,2,1,2,1,4,2,2,2,2,2,2,2,1,1,1,1,2,2,4,3,2,7,1742.15931693075,9,22
7665,2,2,6,2,2,1,1,1,1,1,1,1,1,0,2,1,2,2,1,2,1,1,1,1,1,1,1,3,2,1,5,2873.6551431579496,6,17
7666,2,2,1,2,2,2,1,2,2,2,1,2,1,5,2,2,1,2,2,2,2,2,1,2,1,2,1,4,3,2,5,2508.51581851858,10,22
7667,2,1,10,2,2,2,2,1,1,2,1,1,2,14,2,1,1,1,2,2,2,1,2,2,1,2,1,3,2,1,5,2646.02715607477,9,20
7668,1,2,0,2,2,2,1,2,2,2,1,2,1,5,2,2,1,2,2,2,2,1,2,2,1,2,1,4,4,2,6,1052.38692109253,10,22
7669,1,1,1,2,2,2,1,2,2,2,1,2,1,5,2,2,2,1,2,2,1,1,1,1,1,1,1,4,3,2,3,6583.42840264193,10,18
7670,2,3,14,2,2,2,1,2,1,1,1,2,1,5,2,1,1,1,2,1,1,1,2,1,1,1,1,4,3,2,7,4137.39233227183,8,16
7671,2,3,5,2,2,1,1,2,2,1,1,2,1,3,2,2,2,2,2,2,2,1,1,1,1,1,1,4,1,2,5,11251.101215332399,8,20
7672,2,3,2,2,1,2,1,2,1,1,1,2,2,3,2,2,2,2,2,2,2,1,1,1,2,2,2,4,1,2,5,2970.80937714707,8,23
7674,2,1,0,2,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,4,1,1,6,1438.3081154168399,8,20
7675,1,1,5,2,2,2,1,2,1,1,1,2,1,6,1,1,2,1,2,1,1,1,1,1,1,2,2,4,1,1,3,5296.12625496618,8,17
7676,2,1,3,2,2,2,2,2,1,1,1,2,1,3,2,1,1,2,2,1,2,1,2,1,1,2,1,4,1,1,2,4711.65676590022,9,19
7677,2,1,5,2,2,2,1,2,1,1,1,1,1,10,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,607.4374253982589,8,16
7679,2,3,3,2,2,2,2,2,2,2,1,2,1,8,1,2,2,2,2,1,2,1,1,1,1,2,1,4,4,2,7,2662.69089314638,11,19
7680,1,1,3,2,2,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,2,1,3,5,2,7,2090.38064797734,6,15
7681,2,2,2,2,2,2,2,2,2,2,2,2,2,20,2,2,2,2,2,2,2,1,1,1,1,2,2,4,1,2,4,8289.61920637443,12,22
7682,2,2,1,2,2,1,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,7,1422.59484880906,7,13
7684,2,2,1,2,2,2,2,2,1,1,1,1,1,20,1,2,2,2,2,1,2,2,1,1,1,2,2,4,3,2,7,2384.64762604002,9,21
7685,2,4,10,2,2,1,2,2,2,1,1,2,2,10,2,2,1,2,2,2,2,2,1,2,2,2,1,4,1,1,3,879.587285550563,9,23
7686,2,2,5,2,2,2,1,2,2,1,1,2,2,20,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,3,2809.65923487422,9,15
7687,2,1,2,2,2,2,1,2,1,1,1,2,2,10,2,1,2,1,2,2,1,1,2,1,1,2,2,3,1,1,3,8778.03057510889,8,20
7689,3,1,1,2,2,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,4,2,2,5,1437.24836752841,8,20
7691,1,1,3,2,2,2,2,2,2,2,1,2,1,5,1,1,2,1,2,1,1,2,1,2,2,2,1,4,1,1,7,2744.51911634401,11,19
7693,1,2,1,2,2,2,1,2,1,1,1,2,2,18,1,1,1,1,2,2,1,1,1,1,2,1,2,3,1,2,3,3121.93892592162,8,17
7694,1,4,15,1,2,2,1,1,1,1,1,2,2,3,2,1,1,1,2,1,1,1,1,1,1,1,2,3,3,1,7,8918.24648614986,7,16
7695,3,1,8,2,2,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,6,4612.61648450517,7,14
7696,3,3,9,2,2,2,1,2,1,2,2,1,1,30,1,1,1,1,2,1,2,1,1,1,1,1,1,3,2,1,5,1482.28176409906,10,15
7697,1,1,0,2,2,2,2,2,1,2,1,2,2,3,2,2,2,2,2,2,2,1,2,1,1,1,1,4,3,1,7,1144.30680985685,10,21
7698,2,1,2,2,2,1,2,2,2,2,2,2,1,22,2,2,2,2,2,2,2,1,1,2,1,2,1,4,3,1,7,3485.8858196499,11,22
7699,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,3,2,2,7,1274.5759471413,7,17
7700,1,2,1,2,2,2,1,2,2,2,1,2,1,10,2,2,1,2,2,2,2,2,1,1,2,1,2,4,3,2,6,12092.0404527746,10,22
7701,2,2,7,2,2,2,1,2,2,2,1,2,2,5,1,1,1,1,2,1,1,2,2,1,1,2,2,1,5,2,3,1210.10632874371,10,18
7702,2,2,0,2,2,2,2,2,2,2,1,2,1,5,2,2,2,2,2,1,2,2,1,2,1,2,2,4,3,2,6,3571.15839525625,11,23
7703,1,1,2,2,2,2,2,2,2,2,1,2,2,10,1,2,2,2,1,2,2,2,1,1,1,2,1,4,3,2,6,8511.03796759361,11,20
7704,2,2,3,2,2,2,2,2,1,1,1,2,2,17,2,1,1,2,2,2,2,2,2,1,1,2,2,3,2,2,5,1009.27987151798,9,22
7706,1,1,8,2,2,2,1,2,1,1,1,2,1,3,1,2,2,1,2,1,2,1,2,1,1,2,2,3,5,2,7,1770.8287724477698,8,20
7707,2,2,3,1,2,2,1,2,1,1,1,2,2,4,1,1,1,1,1,1,1,2,1,1,1,2,1,3,5,2,0,1731.11017991894,8,15
7708,1,2,4,2,2,1,1,2,1,1,1,1,2,3,1,1,1,2,1,2,1,1,2,2,1,2,2,4,2,2,5,971.370011060569,7,19
7709,2,3,10,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,3,2,2,5,2023.60888170084,9,15
7711,2,1,2,2,1,2,1,2,2,2,1,2,2,7,2,1,2,2,2,1,2,2,1,1,1,1,1,2,5,1,4,2617.2166776441395,10,19
7712,2,1,10,2,2,2,2,2,1,2,1,1,2,8,2,1,2,1,2,2,2,1,2,1,1,1,2,2,5,2,3,3920.1553998160903,10,20
7713,2,3,1,1,2,1,1,2,1,2,1,2,1,3,1,1,2,2,1,1,1,1,1,1,1,1,2,4,3,1,6,1580.7111665774698,8,16
7714,2,1,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,4,5,2,5,609.535279391833,6,14
7716,1,2,5,2,2,2,1,2,2,1,1,2,1,6,2,1,1,2,2,1,1,2,1,1,1,1,2,4,1,2,1,2117.3634306354197,9,18
7717,1,2,0,1,2,2,1,2,1,2,1,2,2,3,1,1,2,1,2,2,1,1,2,1,1,2,2,4,1,2,7,7462.0201990286905,9,19
7718,2,2,5,2,2,2,1,2,1,2,1,2,1,8,1,1,1,1,2,1,1,1,1,1,2,1,2,4,1,2,1,1882.20052318788,9,16
7719,2,1,0,2,2,2,2,2,2,2,1,2,2,10,1,2,1,2,2,1,1,1,2,1,1,1,2,4,1,2,7,7340.825006714109,11,18
7720,2,1,6,2,2,2,1,2,1,1,1,2,2,6,2,1,1,2,1,2,1,2,2,1,1,2,1,3,2,2,2,1500.98042474109,8,19
7721,4,4,15,2,1,1,1,1,1,1,1,1,2,5,1,1,1,2,2,2,1,1,1,1,1,2,1,3,1,2,0,1177.5842539278099,6,17
7722,2,1,5,2,2,2,1,2,2,1,1,2,2,5,2,2,2,2,1,2,2,2,2,1,1,2,1,3,1,1,7,820.576286084261,9,22
7723,1,1,5,2,2,2,2,2,2,2,1,1,1,10,2,1,1,2,2,1,1,2,2,1,1,2,1,1,5,2,6,1496.7512419658099,11,19
7724,2,2,5,2,2,2,1,2,1,2,1,1,1,4,2,1,1,2,1,2,1,1,1,1,1,1,1,1,5,2,2,1297.36065878102,9,16
7725,1,1,4,2,2,2,2,2,1,2,1,2,1,12,2,1,1,2,2,1,2,1,2,1,1,2,1,4,1,2,6,3880.8115989261296,10,19
7726,2,2,1,2,2,2,1,2,1,2,1,2,1,4,1,1,2,2,2,1,1,1,1,1,1,1,1,4,2,2,4,5544.475728055871,9,16
7727,1,2,4,2,2,2,1,2,1,2,1,2,1,7,2,1,2,2,1,2,2,1,2,2,1,2,2,4,2,2,4,4112.3686078030705,9,22
7728,2,2,4,2,2,2,1,2,2,1,1,2,1,5,2,1,2,2,2,2,2,2,1,1,1,2,2,4,4,2,5,2026.26375571293,9,22
7729,2,2,6,2,2,2,1,2,1,2,2,1,1,15,2,1,2,2,2,1,2,1,2,1,1,2,2,3,1,2,0,2494.64745515185,10,21
7731,2,2,1,2,2,2,1,2,1,1,1,2,1,5,1,2,2,2,2,2,1,2,1,2,2,1,2,4,2,2,5,5470.64490238317,8,22
7732,1,2,9,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,4,1,2,3,3556.47748844984,7,16
7733,3,3,6,1,2,2,1,2,1,2,1,2,2,3,2,1,1,2,2,2,1,1,1,1,1,2,1,4,2,1,5,2614.29333358874,9,18
7734,2,1,2,2,2,2,2,2,2,2,2,2,2,5,2,1,1,2,2,2,1,2,1,2,1,2,1,4,1,2,3,2363.62002551911,12,20
7735,1,3,2,2,2,1,1,2,2,1,1,1,1,3,1,1,2,2,2,2,1,1,1,1,1,2,2,3,5,2,7,11126.011273331002,8,19
7739,2,1,6,2,2,2,2,2,1,1,1,1,2,5,1,2,1,2,2,1,1,1,2,1,1,2,1,2,2,2,2,7928.57827832476,9,18
7740,1,2,1,2,2,2,1,1,2,1,1,2,1,5,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,5,4337.54202494449,8,16
7741,2,2,2,1,2,2,1,2,2,2,1,1,1,4,2,1,1,2,2,2,1,2,1,2,2,1,2,4,1,2,7,2091.08378424852,10,21
7742,2,2,1,1,1,1,1,2,1,1,1,2,2,4,1,1,1,2,2,1,1,1,1,1,1,2,1,3,1,2,5,1228.87466964185,7,16
7743,3,1,8,2,2,2,2,1,1,2,1,1,2,10,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,1,0,7482.369464628579,9,15
7744,2,2,3,2,2,2,1,1,1,2,1,1,1,7,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,3621.2698115580797,8,14
7745,2,1,2,2,2,1,1,1,1,1,1,1,1,0,2,1,1,2,1,2,1,1,1,1,1,1,1,1,5,2,0,3852.09602754935,6,16
7746,2,2,1,2,1,2,1,2,2,2,1,2,1,6,2,1,1,2,2,2,1,1,1,1,1,2,2,4,1,2,5,1036.41015289199,10,19
7748,2,1,2,2,2,2,2,2,2,2,1,2,1,12,2,2,2,1,2,2,2,2,1,1,1,2,1,3,2,1,2,3285.91711005935,11,21
7749,2,1,0,2,2,2,2,2,1,1,1,2,1,5,1,1,1,1,2,2,1,1,1,1,1,1,2,4,2,1,6,2468.814200532,9,16
7750,1,1,20,2,2,2,2,2,2,2,1,2,1,10,2,2,2,2,2,2,2,2,2,1,2,1,2,4,4,2,7,1277.28484586934,11,24
7751,2,1,1,2,2,2,1,2,1,2,1,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,7,4963.23983718586,9,14
7752,3,2,5,2,2,2,1,2,1,2,1,1,2,4,1,2,1,2,1,2,2,2,2,2,1,2,1,3,1,2,3,1198.29974499461,9,21
7753,1,1,2,2,2,2,2,2,2,1,2,2,2,15,2,1,1,2,2,2,1,2,2,2,1,2,1,3,1,2,3,1640.21110147374,11,21
7754,2,2,4,2,2,2,1,2,1,2,1,2,1,3,2,2,2,2,2,2,1,2,1,1,1,2,2,4,1,2,6,2496.72410066162,9,22
7755,2,1,0,2,2,1,1,1,1,1,1,1,1,0,1,1,2,1,2,2,1,1,2,1,1,2,1,4,2,2,7,1059.2871472613401,6,18
7756,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,1,1,1,1,1,2,1,4,4,1,7,2824.8660489363,6,18
7757,2,4,0,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,3,1,0,18851.6792329954,6,14
7758,2,2,6,2,2,2,2,2,1,2,1,2,1,4,1,2,2,2,2,2,1,2,2,2,2,1,1,4,3,1,7,8759.74318333611,10,22
7759,1,2,6,2,2,2,2,2,1,1,1,2,1,5,2,2,1,2,2,2,1,1,2,2,2,2,2,4,4,1,7,4073.6923820829707,9,23
7760,2,1,0,2,2,2,1,2,1,2,1,2,1,3,2,1,1,1,2,1,1,1,1,1,1,1,2,4,1,2,2,2109.91772902626,9,16
7761,1,1,5,2,2,2,2,2,2,2,1,2,1,30,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,2,6,1237.9128596559501,11,17
7762,2,1,0,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,2,2,5,3563.5887187583294,8,14
7763,2,1,2,2,2,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,5,2,5,2956.8023190399895,10,14
7765,1,1,0,2,2,2,1,2,2,2,1,2,1,10,2,2,2,2,2,2,1,2,2,1,2,2,2,4,1,2,2,1365.80711365408,10,24
7766,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,4,1,2,4,4139.5227571487,8,23
7767,2,1,3,2,2,2,2,2,1,2,2,2,1,12,1,1,1,1,2,1,2,2,1,1,1,2,1,4,2,2,4,1891.6633040865802,11,17
7768,2,3,0,2,2,1,1,2,1,2,1,2,1,6,1,1,1,1,2,2,2,1,1,1,1,2,1,3,3,1,5,1896.37930282085,8,17
7769,2,2,4,2,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,3,2,2,2,1114.68309850345,8,20
7772,1,1,4,2,2,2,2,2,2,1,1,2,1,4,2,1,2,1,2,2,2,1,1,1,1,1,2,4,1,2,3,4175.31988311512,10,19
7774,2,1,1,2,2,2,2,2,2,2,2,2,1,6,1,1,2,2,2,1,2,1,1,1,1,1,2,4,3,1,3,3683.6773396034496,12,18
7775,1,1,1,2,2,2,1,2,1,2,1,1,1,25,1,1,2,2,2,1,1,1,2,1,1,2,2,2,5,1,6,4077.76405162156,9,19
7776,1,1,5,2,2,2,1,2,2,2,1,2,2,5,2,2,2,2,2,2,1,2,2,1,1,1,2,4,3,2,3,6045.81513466584,10,22
7777,3,2,6,1,2,2,1,2,1,1,1,2,2,4,1,2,1,2,2,1,2,2,1,1,1,1,2,4,4,2,7,7555.284485576401,8,19
7778,2,2,3,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,1,1856.0085105317498,6,14
7779,1,1,2,2,1,2,1,2,2,2,1,2,2,8,2,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,4,3265.5596312638104,10,15
7780,2,2,1,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,2,2,1,1,2,1,1,1,2,3,5,2,4,1851.08193708977,9,17
7781,3,3,16,2,1,1,1,2,2,1,1,2,2,6,1,1,1,1,1,2,2,1,1,1,1,1,2,1,5,1,0,6231.173622756451,8,16
7783,2,2,5,2,2,1,1,2,1,1,1,2,1,3,1,1,1,1,1,2,2,1,1,1,1,2,1,4,2,2,3,2780.50595694643,7,16
7784,2,3,3,1,1,2,1,2,2,2,1,2,2,20,1,1,2,1,2,2,1,1,2,2,1,2,2,3,1,2,3,4601.89685642188,10,20
7785,1,1,3,2,2,2,2,2,1,2,1,2,2,40,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,3,1858.9584128516199,10,17
7786,1,4,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2049.04431221354,6,13
7787,1,1,5,2,2,2,2,2,2,2,1,2,1,10,1,1,1,1,2,1,1,1,1,1,1,2,2,3,2,2,5,1659.94598814849,11,16
7788,1,2,15,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,4,5,1,3,2005.2307652849302,6,17
7789,2,1,3,2,2,2,2,2,2,2,1,2,2,8,2,2,2,1,2,2,2,2,2,2,1,2,2,4,3,2,7,3274.4971191563395,11,24
7790,2,1,0,2,2,2,1,2,2,1,1,2,1,4,1,1,2,2,2,2,1,1,1,1,1,2,1,4,1,2,7,13640.5422868682,9,18
7791,1,3,10,2,2,2,2,2,2,1,1,2,2,4,2,1,2,2,2,2,1,1,2,1,1,2,1,4,4,2,3,1050.49650803204,10,20
7793,2,1,5,2,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,4,601.401279390171,7,18
7794,2,2,3,2,2,1,2,2,2,2,1,2,2,10,1,2,1,2,2,1,1,1,1,1,1,1,2,4,3,1,4,4236.2462968567,10,17
7795,1,1,2,2,2,2,2,2,2,2,1,2,1,10,1,1,2,2,2,2,1,2,1,1,1,2,2,4,5,2,7,907.5528423900439,11,20
7796,2,1,6,2,2,2,1,2,1,1,1,2,2,5,1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,1,2,509.33573333339206,8,19
7797,1,1,5,2,2,2,1,2,1,1,1,1,1,3,1,1,2,2,2,2,2,2,2,1,1,2,1,3,5,2,6,1173.62620888088,8,21
7799,2,1,5,2,2,2,2,2,2,2,1,2,2,6,2,1,2,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1109.0180259562198,11,18
7800,1,1,4,2,2,2,2,2,2,2,2,2,2,10,1,1,2,2,2,2,1,1,1,1,1,2,2,3,5,2,2,1515.8687636692903,12,19
7802,1,1,4,2,2,2,2,2,2,2,1,1,1,5,2,2,2,2,2,1,1,1,1,1,1,1,1,3,2,2,7,1421.00804677887,11,18
7803,2,1,1,2,2,2,1,2,1,2,1,2,1,5,1,2,2,2,2,2,2,1,1,1,1,2,1,4,1,2,7,1126.6913995441698,9,20
7805,2,1,10,1,2,2,2,2,2,2,1,2,1,25,1,1,1,1,2,2,1,1,1,1,1,1,2,3,5,2,4,6716.304214424711,11,16
7807,2,1,9,2,2,2,2,2,1,2,2,2,1,15,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,2,6,1086.6962711791803,11,18
7808,1,3,3,1,2,2,2,2,2,2,1,2,1,4,2,2,1,2,2,1,1,2,2,2,2,1,1,4,4,1,6,6061.60017106552,11,21
7809,2,1,4,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,4,1,2,5,7108.58298065953,7,23
7810,2,1,5,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,3,2,1,6,2343.34486221512,10,17
7812,2,1,10,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,4695.237007947439,7,13
7813,1,1,4,1,2,2,1,2,2,2,2,2,2,15,2,1,2,2,2,1,2,1,1,2,2,2,1,4,1,2,7,8768.282165873721,11,21
7814,2,2,5,2,2,2,1,2,2,1,1,2,2,6,1,1,1,1,2,1,2,1,1,1,1,1,1,4,2,2,5,6150.53373696974,9,15
7815,1,1,6,2,2,2,1,2,1,1,1,1,1,3,1,2,2,1,1,1,2,2,2,1,1,1,1,4,2,2,7,3393.98497716266,8,18
7816,4,2,30,2,2,1,1,1,1,1,2,2,2,3,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,0,640.179078852216,7,16
7817,2,1,5,2,2,1,1,2,1,2,1,2,1,3,2,1,2,2,2,1,2,1,1,1,2,1,1,4,4,2,5,597.805014869305,8,19
